Wall time,Step,Value
1624950017.4346275,4310,22.90718650817871
1624950018.196852,4610,26.09612464904785
1624950024.5121377,7210,26.31133270263672
1624950030.0969505,9510,23.577529907226562
1624950047.8580375,16810,26.24887466430664
1624950063.1524167,23010,25.04726791381836
1624950064.3717144,23510,25.569961547851562
1624950069.500663,25610,22.739822387695312
1624950073.9022574,27410,25.46784782409668
1624950082.7508633,30910,25.624797821044922
1624950083.2416854,31110,25.556516647338867
1624950085.214611,31910,23.6490535736084
1624950123.3511925,47510,26.294443130493164
1624950138.632405,53710,26.213891983032227
1624950149.1663864,58010,25.288259506225586
1624950150.8839283,58710,24.15915298461914
1624950162.6200247,63510,24.13316535949707
1624950165.7833805,64810,24.494674682617188
1624950171.6101596,67210,25.232200622558594
1624950182.280537,71510,26.36042594909668
1624950184.2432082,72310,26.293752670288086
1624950199.7427127,78610,25.653688430786133
1624950203.8950336,80310,25.424463272094727
1624950205.3538675,80910,25.39232063293457
1624950212.202011,83710,24.859373092651367
1624950245.5390964,97210,26.033931732177734
1624950256.3022795,101510,24.64850616455078
1624950269.0493083,106710,23.744712829589844
1624950278.322008,110510,27.404787063598633
1624950297.0630052,118110,26.23821449279785
1624950317.1777418,126210,25.72501564025879
1624950330.8611815,131710,25.598154067993164
1624950331.598326,132010,26.394311904907227
1624950335.0283623,133410,24.214080810546875
1624950336.0077298,133810,24.072511672973633
1624950347.8887746,138610,24.06830406188965
1624950349.5979216,139310,24.380146026611328
1624950360.395743,143710,25.623546600341797
1624950367.7542567,146710,25.1754207611084
1624950382.038942,152410,27.079797744750977
1624950389.2728024,155310,25.31011199951172
1624950393.2183127,156910,26.331830978393555
1624950397.1889331,158510,25.297649383544922
1624950423.653053,169210,25.802635192871094
1624950434.3629391,173510,25.305177688598633
1624950435.0988886,173810,26.749427795410156
1624950461.6710584,184510,24.184202194213867
1624950467.1014948,186710,23.838619232177734
1624950469.8327975,187810,27.14771842956543
1624950479.8705635,191810,26.873348236083984
1624950484.2500784,193510,24.749267578125
1624950487.4534817,194810,24.872249603271484
1624950509.6644418,203710,25.322912216186523
1624950524.4388723,209710,24.982145309448242
1624950547.2446814,218810,27.03479766845703
1624950550.21424,220010,24.39268684387207
1624950558.1732652,223210,25.230018615722656
1624950559.6453993,223810,25.950960159301758
1624950565.800239,226310,24.897924423217773
1624950576.9311497,230810,25.151700973510742
1624950597.2840004,239010,25.89607810974121
1624950609.0923808,243710,27.42856216430664
1624950613.3947532,245410,26.692407608032227
1624950613.884936,245610,27.651378631591797
1624950615.1098886,246110,26.369129180908203
1624950621.3744595,248610,28.100914001464844
1624950621.6126118,248710,27.90140724182129
1624950624.5325413,249910,25.104385375976562
1624950625.778778,250410,26.656909942626953
1624950632.9747064,253310,27.602664947509766
1624950636.7463553,254810,26.05257797241211
1624950671.0772574,268610,27.567550659179688
1624950684.7655163,274110,27.152326583862305
1624950741.1073353,296810,28.849407196044922
1624950758.7395775,303910,24.86562156677246
1624950759.492468,304210,25.353891372680664
1624950773.7472134,310010,26.965978622436523
1624950789.195586,316210,24.873884201049805
1624950806.4886537,323110,25.16946792602539
1624950809.9938703,324510,25.9635009765625
1624950810.4892797,324710,25.34074592590332
1624950810.7386844,324810,25.892311096191406
1624950824.9947603,330610,26.62709617614746
1624950867.946982,348110,26.752527236938477
1624950901.9501643,361910,26.088834762573242
1624950902.495033,362110,24.609182357788086
1624950915.0985382,367110,26.271127700805664
1624950932.5254045,374210,28.6887149810791
1624950945.4132154,379410,28.05748176574707
1624950950.6028974,381510,26.859201431274414
1624950952.310231,382210,26.38727569580078
1624950978.9438741,392910,26.815099716186523
1624950985.8449976,395710,27.167245864868164
1624950992.6028264,398510,25.09817123413086
1624951005.161458,403710,28.214628219604492
1624951020.4466085,409910,24.35329818725586
1624951044.3709795,419710,27.63064956665039
1624951051.8748248,422810,29.033660888671875
1624951053.0806897,423310,26.617002487182617
1624951073.663934,431810,27.34963035583496
1624951074.151772,432010,27.45738410949707
1624951094.228566,440110,27.252201080322266
1624951116.8941004,449310,26.18303871154785
1624951121.0225086,451010,27.121828079223633
1624951126.1968198,453110,28.675432205200195
1624951158.9983516,466510,27.597389221191406
1624951159.9778986,466910,28.600662231445312
1624951161.9108088,467710,27.93543815612793
1624951189.4125714,478910,27.575162887573242
