,Step,Value
1624949768,4310,24.81272507
1624949769,4610,24.79936218
1624949777,7210,23.24795723
1624949783,9510,25.25403786
1624949805,16810,25.96781158
1624949824,23010,25.6470108
1624949825,23510,26.28506279
1624949831,25610,24.55189705
1624949837,27410,24.9339962
1624949847,30910,26.11907578
1624949848,31110,26.13516998
1624949850,31910,24.66103745
1624949896,47510,24.64760399
1624949915,53710,21.76758766
1624949928,58010,24.68873405
1624949930,58710,24.8383522
1624949944,63510,23.8722496
1624949948,64810,26.0005703
1624949955,67210,27.83090591
1624949968,71510,23.65610313
1624949970,72310,27.00731659
1624949989,78610,25.46169853
1624949994,80310,25.92878342
1624949995,80910,25.47761536
1624950004,83710,25.4018364
1624950044,97210,24.37721443
1624950056,101510,25.39429092
1624950072,106710,26.22110176
1624950083,110510,27.48089409
1624950106,118110,26.11301231
1624950130,126210,27.63957405
1624950146,131710,25.16156006
1624950147,132010,24.49751854
1624950151,133410,22.05090141
1624950152,133810,24.94626045
1624950166,138610,26.95362854
1624950169,139310,26.73243141
1624950182,143710,25.29227829
1624950190,146710,26.42632675
1624950208,152410,25.08765793
1624950216,155310,25.23633957
1624950220,156910,24.10747337
1624950225,158510,24.03935814
1624950257,169210,27.82016754
1624950270,173510,27.43829918
1624950271,173810,25.96365738
1624950303,184510,24.67510796
1624950309,186710,23.99951744
1624950312,187810,23.44899178
1624950324,191810,25.14085007
1624950329,193510,24.60126495
1624950333,194810,25.07740402
1624950359,203710,25.0185833
1624950376,209710,24.2896595
1624950403,218810,26.96929932
1624950407,220010,26.90578651
1624950416,223210,25.28349495
1624950418,223810,25.63660622
1624950425,226310,25.09048271
1624950438,230810,23.34773445
1624950463,239010,25.49942589
1624950477,243710,25.14881897
1624950481,245410,25.39247322
1624950482,245610,25.93721771
1624950484,246110,25.72792244
1624950491,248610,27.9104538
1624950491,248710,27.60773468
1624950494,249910,23.62739754
1624950496,250410,25.85276604
1624950505,253310,27.53825188
1624950509,254810,27.47417641
1624950549,268610,26.61350632
1624950565,274110,24.91713524
1624950633,296810,24.70284271
1624950653,303910,26.34325981
1624950654,304210,25.78373909
1624950671,310010,26.35318947
1624950690,316210,27.01454735
1624950710,323110,28.39505005
1624950714,324510,28.03666496
1624950714,324710,27.62370682
1624950714,324810,28.70969391
1624950732,330610,26.03323936
1624950783,348110,26.07115746
1624950823,361910,27.28960991
1624950824,362110,25.74074173
1624950839,367110,27.94423294
1624950859,374210,26.87018776
1624950875,379410,30.13769341
